,Country,Years,Life Expectancy Trend,Life expectancy ,Adult Mortality Trend,Adult Mortality,Infant Deaths Trend,infant deaths,Alcohol Trend,Alcohol,Percentage Expenditure Trend,percentage expenditure,Hepatitis B Trend,Hepatitis B,Measles Trend,Measles ,BMI Trend, BMI ,Under-Five Deaths Trend,under-five deaths ,Polio Trend,Polio,Total Expenditure Trend,Total expenditure,Diphtheria Trend,Diphtheria ,HIV/AIDS Trend, HIV/AIDS,GDP Trend,GDP,Population Trend,Population,Income Composition of Resources Trend,Income composition of resources,Schooling Trend,Schooling
0,Afghanistan,15,10.200000000000003,58.19375,318.0,269.0625,26,78.25,0.019999999999999997,0.014375,78.290719628,34.9601100659375,6.0,64.5625,8332,2362.25,6.900000000000002,15.51875,39,107.5625,63.0,48.375,2.6899999999999995,8.2525,63.0,52.3125,0.0,0.1,644.6648700999999,340.01542546875,33478696.0,9972259.8125,0.14099999999999996,0.415375,4.6,8.2125
1,Albania,15,5.200000000000003,75.15625,98.0,45.0625,1,0.6875,2.13,4.84875,433.75994579999997,193.259090710625,3.0,98.0,662,53.375,52.2,49.06875,1,0.9375,2.0,98.125,1.04,5.945625,2.0,98.0625,0.0,0.1,4540.634487,2119.726678875,2989606.0,696911.625,0.10599999999999998,0.709875,3.5999999999999996,12.1375
2,Algeria,10,3.1000000000000085,74.2090909090909,125.0,102.8181818181818,2,20.272727272727277,0.65,0.4472727272727272,553.377160642,300.2719389816364,87.0,76.45454545454545,3289,647.0,52.6,48.87272727272728,2,23.363636363636363,9.0,93.1818181818182,3.9699999999999998,4.945454545454545,9.0,93.36363636363636,0.0,0.1,5533.703282,3261.2893743636364,39078937.0,24124739.272727277,0.06799999999999995,0.7071818181818181,2.700000000000001,13.163636363636364
3,Angola,7,7.799999999999997,50.675,27.0,362.75,20,76.625,1.9800000000000004,7.62,232.15691230000002,174.40578934875,16.0,71.0,11434,3925.625,20.3,18.45,37,118.75,18.0,70.875,1.0700000000000003,3.65375,71.0,64.0,0.6000000000000001,2.45,4118.937747999999,2935.762962375,23958950.0,10107848.375,0.07300000000000001,0.492875,3.7,9.475
4,Argentina,12,2.1000000000000085,75.23846153846154,126.0,100.3846153846154,4,10.0,0.8799999999999999,8.004615384615384,1446.74478848,838.1988886084616,85.0,80.3076923076923,17,2.0,55.800000000000004,54.48461538461538,4,11.23076923076923,8.0,94.46153846153848,3.5200000000000005,6.546153846153846,7.0,93.6923076923077,0.0,0.1,12643.198820000001,6932.546881538462,42501568.0,20847453.53846154,0.05499999999999994,0.7957692307692308,1.1999999999999993,16.630769230769232
5,Armenia,14,2.5999999999999943,73.30666666666666,130.0,117.33333333333331,0,1.0,1.3900000000000001,3.7026666666666666,292.71981639999996,139.7412466672,40.0,87.13333333333334,2281,290.3333333333333,49.0,44.02666666666666,0,1.0,88.0,88.66666666666667,2.54,4.8613333333333335,86.0,86.93333333333334,0.0,0.1,3953.4423850000003,2108.6750870933333,2977647.0,1063395.933333333,0.09999999999999998,0.6955333333333333,1.8999999999999986,11.726666666666668
6,Australia,13,6.099999999999994,81.90714285714286,69.0,62.42857142857143,0,1.0,1.2300000000000004,10.154285714285717,11688.4666281,6069.174014557143,4.0,93.42857142857144,340,105.78571428571428,59.8,54.92857142857143,1,1.3571428571428572,1.0,91.85714285714286,1.3200000000000003,8.839285714285714,2.0,92.0,0.0,0.1,67510.52097,35391.195153571425,23097940.0,3541690.5,0.03700000000000003,0.9182857142857144,1.6999999999999993,19.985714285714288
7,Austria,14,9.900000000000006,81.48,89.0,65.8,0,0.0,1.8999999999999986,12.236,8280.26452942,5257.0018005893335,65.0,80.26666666666667,448,61.8,52.0,47.66666666666666,0,0.0,27.0,85.53333333333333,10.09,4.715333333333334,17.0,86.33333333333333,0.0,0.1,50942.38304,33171.57826266667,7730009.0,6330993.933333334,0.05900000000000005,0.8604,1.4000000000000021,15.353333333333332
8,Azerbaijan,12,10.200000000000003,71.14615384615385,149.0,119.84615384615384,2,5.769230769230769,2.1300000000000003,1.0553846153846154,297.58562634000003,158.39854877846153,89.0,56.38461538461539,4353,675.9230769230769,45.9,43.4076923076923,3,6.769230769230769,89.0,74.07692307692308,3.55,5.849230769230768,19.0,82.15384615384616,0.0,0.1,7746.083476,4004.7840709615375,9287419.0,1906076.076923077,0.10099999999999998,0.7082307692307693,1.5999999999999996,11.415384615384616
9,Bangladesh,11,10.200000000000003,69.96666666666667,147.0,135.66666666666666,98,142.41666666666666,0.0,0.01,58.54475765,42.470576265,92.0,76.0,25697,5096.916666666667,6.1,14.441666666666668,143,184.83333333333331,88.0,87.66666666666667,1.29,2.9525,12.0,94.75,0.0,0.1,905.1315367999999,573.5816813916666,157432101.0,45988342.5,0.08599999999999997,0.5256666666666666,2.0999999999999996,8.866666666666667
