Country,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,58.19375,269.0625,78.25,0.014375,34.9601100659375,64.5625,2362.25,15.51875,107.5625,48.375,8.2525,52.3125,0.1,340.01542546875,9972259.8125,16.58125,15.581249999999999,0.415375,8.2125
Albania,75.15625,45.0625,0.6875,4.84875,193.259090710625,98.0,53.375,49.06875,0.9375,98.125,5.945625,98.0625,0.1,2119.726678875,696911.625,1.61875,1.7,0.709875,12.1375
Algeria,74.2090909090909,102.81818181818181,20.272727272727273,0.44727272727272727,300.27193898163637,76.45454545454545,647.0,48.872727272727275,23.363636363636363,93.18181818181819,4.945454545454545,93.36363636363636,0.1,3261.2893743636364,24124739.272727273,6.0,5.890909090909091,0.7071818181818181,13.163636363636364
Angola,50.675000000000004,362.75,76.625,7.62,174.40578934875,71.0,3925.625,18.45,118.75,70.875,3.65375,64.0,2.45,2935.762962375,10107848.375,9.0375,8.925,0.492875,9.475
Argentina,75.23846153846154,100.38461538461539,10.0,8.004615384615384,838.1988886084616,80.3076923076923,2.0,54.48461538461538,11.23076923076923,94.46153846153847,6.546153846153846,93.6923076923077,0.1,6932.546881538462,20847453.53846154,1.0615384615384615,0.9307692307692308,0.7957692307692308,16.630769230769232
Armenia,73.30666666666666,117.33333333333333,1.0,3.7026666666666666,139.7412466672,87.13333333333334,290.3333333333333,44.026666666666664,1.0,88.66666666666667,4.8613333333333335,86.93333333333334,0.1,2108.6750870933333,1063395.9333333333,2.033333333333333,2.106666666666667,0.6955333333333333,11.726666666666667
Australia,81.90714285714286,62.42857142857143,1.0,10.154285714285715,6069.174014557143,93.42857142857143,105.78571428571429,54.92857142857143,1.3571428571428572,91.85714285714286,8.839285714285714,92.0,0.1,35391.195153571425,3541690.5,0.6714285714285714,0.6214285714285713,0.9182857142857143,19.985714285714288
Austria,81.48,65.8,0.0,12.235999999999999,5257.0018005893335,80.26666666666667,61.8,47.666666666666664,0.0,85.53333333333333,4.715333333333334,86.33333333333333,0.1,33171.57826266667,6330993.933333334,1.72,1.9266666666666665,0.8604,15.353333333333333
Azerbaijan,71.14615384615385,119.84615384615384,5.769230769230769,1.0553846153846154,158.39854877846153,56.38461538461539,675.9230769230769,43.4076923076923,6.769230769230769,74.07692307692308,5.849230769230768,82.15384615384616,0.1,4004.7840709615384,1906076.076923077,2.869230769230769,2.923076923076923,0.7082307692307693,11.415384615384616
Bangladesh,69.96666666666667,135.66666666666666,142.41666666666666,0.01,42.470576265,76.0,5096.916666666667,14.441666666666668,184.83333333333334,87.66666666666667,2.9525,94.75,0.10000000000000002,573.5816813916666,45988342.5,16.2,12.258333333333333,0.5256666666666666,8.866666666666667
Belarus,69.74666666666667,220.26666666666668,0.6,13.497333333333334,350.98288568866667,88.26666666666667,26.333333333333332,54.24,0.9333333333333333,89.26666666666667,6.191999999999999,91.73333333333333,0.1,3669.0192532,6164016.866666666,2.2333333333333334,2.36,0.7395999999999999,14.693333333333333
Belgium,80.65333333333334,69.93333333333334,0.26666666666666666,11.042666666666666,2551.928167206667,72.93333333333334,83.86666666666666,50.04,1.0,97.66666666666667,5.962000000000001,97.2,0.1,17752.534733333334,2324699.0,0.8533333333333334,0.8466666666666668,0.8766,16.8
Belize,69.15333333333334,154.2,0.0,6.252666666666667,390.2330557793333,94.8,0.0,39.79333333333333,0.0,95.6,5.039333333333333,95.26666666666667,0.44666666666666666,3871.8798198,157799.86666666667,3.56,3.493333333333333,0.6931333333333334,12.433333333333334
Benin,57.70769230769231,269.3076923076923,25.0,0.9515384615384614,47.78113220676923,61.07692307692308,593.2307692307693,19.3,39.15384615384615,65.38461538461539,4.654615384615385,65.46153846153847,1.7076923076923076,572.4469726,4143771.3076923075,8.146153846153847,8.03076923076923,0.44184615384615383,9.069230769230769
Bhutan,65.92,231.53333333333333,0.7333333333333333,0.2786666666666667,143.74834128400002,93.8,84.86666666666666,17.12,1.0,88.8,5.346,93.53333333333333,0.3466666666666667,1270.0097301800001,472931.5333333333,17.34,18.053333333333335,0.15586666666666668,10.073333333333332
Bosnia and Herzegovina,76.18181818181819,63.54545454545455,0.0,4.600909090909091,267.945692922,70.72727272727273,303.72727272727275,48.50909090909091,0.0,75.18181818181819,9.184545454545455,82.0909090909091,0.1,2216.6363967272728,1813739.4545454546,2.690909090909091,2.6636363636363636,0.5871818181818181,13.254545454545456
