Country,Year,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,2015,65.0,321.0,88,0.03,79.67936736,68.0,8762,19.1,122,68.0,9.42,68.0,0.1,669.959,33736494.0,19.9,19.9,0.479,10.1
Albania,2015,77.8,99.0,1,5.79,437.0621,99.0,662,58.0,1,99.0,6.38,99.0,0.1,4575.763787,2992547.0,2.1,2.2,0.762,14.2
Algeria,2014,75.4,136.0,21,0.66,555.9260834,95.0,3289,58.4,24,95.0,7.21,95.0,0.1,5564.82566,39113313.0,6.2,6.1,0.741,14.4
Angola,2014,56.0,375.0,87,8.33,256.1225243,77.0,11699,22.7,138,81.0,4.37,77.0,2.6,4598.249988,24218565.0,9.6,9.6,0.527,11.4
Argentina,2014,76.2,138.0,12,8.41,1504.329462,94.0,17,62.2,13,99.0,8.31,98.0,0.1,12976.63642,42981515.0,1.2,1.0,0.825,17.3
Armenia,2014,74.6,142.0,1,4.25,295.6087143,95.0,2281,54.1,1,97.0,6.25,95.0,0.1,3994.712355,2981259.0,2.1,2.2,0.739,12.7
Australia,2014,86.0,75.0,1,10.76,11734.85381,95.0,340,66.1,2,92.0,9.5,93.0,0.1,67792.3386,23117353.0,0.7,0.7,0.936,20.7
Austria,2014,88.0,96.0,0,13.2,8350.193523,98.0,448,57.1,0,98.0,11.21,98.0,0.1,51386.37665,8541575.0,1.8,2.0,0.892,16.1
Azerbaijan,2014,78.0,162.0,7,2.14,306.1824313,94.0,4353,51.5,9,97.0,7.92,94.0,0.1,7891.299776,9295784.0,3.1,3.1,0.752,12.2
Bangladesh,2014,77.0,161.0,196,0.01,62.65945432,97.0,25934,17.7,264,97.0,3.8,99.0,0.1,951.8894535,157571292.0,19.9,19.9,0.57,10.0
Belarus,2014,73.0,262.0,1,17.31,1147.1114,99.0,149,61.7,1,99.0,6.9,99.0,0.1,8318.429294,9928549.0,2.7,2.8,0.796,15.7
Belgium,2014,89.0,99.0,1,12.6,7191.051507,98.0,576,63.4,1,99.0,9.6,99.0,0.1,48424.58927,11182817.0,1.0,1.0,0.89,18.8
Belize,2014,70.0,199.0,0,7.24,670.0920883,98.0,0,49.3,0,98.0,5.9,98.0,1.5,4852.223666,351694.0,3.8,3.7,0.706,12.9
Benin,2014,59.7,285.0,25,1.4,110.2633619,82.0,1588,25.2,40,82.0,5.37,82.0,2.1,943.686575,9199259.0,9.3,9.2,0.475,10.7
Bhutan,2014,69.4,312.0,1,0.96,302.667579,99.0,756,23.6,1,98.0,7.75,99.0,0.6,2522.7968,776448.0,19.2,19.9,0.596,12.6
Bosnia and Herzegovina,2014,77.2,99.0,0,5.16,732.8662491,94.0,3000,55.3,0,95.0,9.94,95.0,0.1,5193.94932,3781287.0,3.0,3.0,0.742,14.2
Botswana,2014,65.1,699.0,2,6.56,668.9562854,95.0,2672,37.3,4,97.0,6.47,97.0,38.8,7645.21469,2168573.0,12.3,12.2,0.697,12.6
Brazil,2014,75.0,183.0,111,7.58,1111.191325,99.0,876,55.3,127,99.0,8.9,99.0,0.1,13167.47289,198686688.0,3.4,3.4,0.747,15.2
Bulgaria,2014,74.3,163.0,1,12.06,875.1495189,96.0,22004,65.1,1,97.0,8.44,96.0,0.1,7853.335191,7837161.0,2.5,2.5,0.787,14.8
Burkina Faso,2014,59.3,293.0,47,4.75,107.7988339,93.0,54118,18.8,86,94.0,7.41,93.0,2.0,699.452847,17585977.0,9.8,9.6,0.398,7.7
Burundi,2014,59.1,378.0,24,5.72,41.25159038,99.0,784,18.2,38,96.0,11.49,99.0,4.8,312.7489794,8212264.0,8.4,8.4,0.404,10.6
Cabo Verde,2014,77.0,148.0,0,5.28,414.0242418,98.0,0,29.7,0,99.0,5.6,99.0,0.9,3638.95946,526437.0,9.2,9.1,0.643,13.6
Cambodia,2014,68.3,216.0,17,2.24,60.18591771,92.0,4779,18.9,21,95.0,6.36,94.0,1.1,882.491462,14776866.0,11.4,11.6,0.553,10.9
Cameroon,2014,56.7,395.0,58,6.19,100.8987451,89.0,831,28.4,93,88.0,5.7,89.0,7.4,1441.1417,21655715.0,6.9,7.0,0.507,10.4
Canada,2014,87.0,78.0,2,8.4,9748.636237,56.0,803,66.4,2,99.0,11.2,95.0,0.1,52496.69487,35544564.0,0.5,0.5,0.912,15.9
Central African Republic,2014,58.0,453.0,17,1.67,58.52947463,47.0,679,22.1,25,47.0,4.2,47.0,7.3,494.336779,4515392.0,9.1,9.1,0.37,7.1
Chad,2014,57.0,394.0,46,0.64,76.52382535,39.0,8650,18.7,80,51.0,3.62,39.0,4.7,989.2363633,13569438.0,9.8,9.7,0.39,7.3
Chile,2014,83.0,91.0,2,7.93,2442.222054,95.0,6,63.1,2,95.0,7.79,96.0,0.1,15941.39722,17613798.0,0.9,0.9,0.841,16.2
China,2014,75.8,115.0,490,5.79,312.6624819,99.0,131441,31.9,608,99.0,5.8,99.0,0.1,7683.5238,1324655.0,5.9,5.1,0.723,13.1
Colombia,2014,74.6,167.0,18,4.66,1487.896562,93.0,139,57.2,21,94.0,7.2,93.0,0.1,7913.383432,47791911.0,2.6,2.3,0.72,13.6
Comoros,2014,66.0,271.0,2,0.27,93.36788979,89.0,912,23.7,2,87.0,7.11,87.0,0.8,852.954379,759385.0,7.6,7.6,0.497,11.1
Costa Rica,2014,79.5,99.0,1,4.34,2568.237059,94.0,1,59.5,1,95.0,9.73,95.0,0.1,9985.36959,4757575.0,2.4,2.3,0.768,13.9
Croatia,2014,77.8,116.0,0,12.56,2425.403891,98.0,51,63.1,0,97.0,8.25,97.0,0.1,15893.8656,4417781.0,1.8,1.7,0.82,15.1
Cyprus,2014,83.0,69.0,0,13.03,2443.325028,96.0,18,59.8,0,99.0,7.54,99.0,0.1,32233.83942,1143896.0,0.9,1.0,0.853,14.6
Djibouti,2014,69.0,296.0,1,0.53,229.4410095,89.0,709,34.4,2,89.0,9.14,89.0,3.5,1622.637974,912164.0,5.8,5.7,0.467,6.3
Dominican Republic,2014,73.6,214.0,7,6.58,1088.244952,89.0,253,57.9,9,88.0,5.9,91.0,2.5,6268.692122,9897985.0,3.8,3.7,0.712,13.2
Ecuador,2014,76.0,163.0,9,4.13,367.9285652,96.0,257,53.5,11,97.0,9.16,96.0,0.3,6432.216537,15661547.0,1.6,1.5,0.737,14.0
El Salvador,2014,75.0,219.0,4,3.1,665.7260253,99.0,2,55.4,5,99.0,8.2,99.0,0.4,3988.771871,6281189.0,2.1,2.0,0.676,13.4
Equatorial Guinea,2014,57.9,32.0,3,0.01,13.40477417,2.0,13,24.0,4,24.0,3.8,2.0,4.4,192.59733,1129424.0,8.5,8.4,0.582,9.2
Eritrea,2011,67.0,343.0,7,1.23,20.97991915,96.0,460,16.5,10,98.0,4.2,98.0,1.9,582.775532,4232636.0,9.9,9.9,0.406,5.4
Estonia,2014,77.3,195.0,0,17.87,2700.07305,95.0,27,59.4,0,96.0,6.93,96.0,0.1,19941.45532,1354775.0,2.2,2.3,0.86,16.5
Ethiopia,2014,68.0,289.0,186,1.86,89.95805845,77.0,12739,17.2,286,75.0,6.86,77.0,2.8,571.1622759,97366774.0,11.3,11.0,0.435,8.4
Fiji,2014,69.7,221.0,0,2.31,460.6487805,99.0,305,61.9,0,99.0,4.6,99.0,0.1,4763.68956,879715.0,4.3,4.0,0.727,15.2
France,2014,89.0,99.0,3,13.89,7002.785925,83.0,14949,62.0,4,99.0,11.56,99.0,0.1,45413.6571,66331957.0,0.7,0.6,0.89,16.2
Gabon,2014,65.5,298.0,2,9.02,805.3925284,82.0,122,35.8,3,81.0,3.98,82.0,10.9,9774.18117,1875713.0,7.2,7.1,0.687,12.6
Georgia,2014,74.5,142.0,2,8.65,221.482875,96.0,7872,55.3,2,94.0,9.38,98.0,0.1,4429.6575,44183.0,3.1,3.1,0.759,13.5
Germany,2014,89.0,95.0,3,12.91,8285.264655,88.0,6024,61.9,4,97.0,11.4,97.0,0.1,45699.19832,82534176.0,1.2,1.2,0.92,17.0
Ghana,2014,69.0,296.0,42,1.78,225.2219474,98.0,12289,28.0,63,94.0,5.33,98.0,3.5,1814.492297,26962563.0,8.8,8.8,0.576,11.7
Greece,2014,88.0,84.0,1,9.95,3682.88717,98.0,149,66.0,1,99.0,9.77,99.0,0.1,31997.2821,11121341.0,0.9,0.8,0.862,17.2
Guatemala,2014,79.0,198.0,14,2.4,657.5282797,96.0,0,49.9,18,96.0,7.7,96.0,0.4,3687.763767,15923559.0,1.4,1.4,0.616,10.7
Guinea,2014,58.8,299.0,31,0.22,50.57976483,64.0,264,22.7,48,63.0,5.64,64.0,2.4,561.997387,11536615.0,8.9,8.8,0.412,8.6
Guinea-Bissau,2014,58.4,289.0,4,3.57,53.30782696,87.0,26,25.6,7,87.0,6.81,87.0,6.0,692.69989,1725744.0,8.3,8.1,0.419,9.2
Guyana,2014,66.3,247.0,1,7.93,536.2332523,98.0,0,45.9,1,98.0,7.46,98.0,2.3,3944.178173,763393.0,5.9,5.7,0.636,11.7
Haiti,2014,63.1,253.0,14,5.68,5.103249438,68.0,0,48.8,19,67.0,8.1,68.0,0.5,83.1148117,1572466.0,3.9,3.9,0.487,9.1
Honduras,2014,74.5,174.0,6,3.23,363.5721644,97.0,0,49.3,8,99.0,9.78,98.0,1.7,2242.711912,8657785.0,2.8,2.7,0.618,11.7
India,2014,68.0,214.0,1600,3.11,86.52153895,79.0,79563,18.1,2100,84.0,4.69,85.0,0.3,1573.11889,1293859294.0,27.2,28.2,0.607,11.6
Indonesia,2014,68.9,213.0,187,0.09,254.4688257,85.0,29171,26.5,237,86.0,3.1,85.0,0.3,3687.953996,255131116.0,11.0,11.2,0.682,12.9
Iraq,2014,77.0,249.0,32,0.32,447.3695001,77.0,30328,58.5,39,78.0,5.92,79.0,0.1,6925.22446,33883145.0,5.4,5.2,0.659,10.5
Ireland,2014,86.0,69.0,0,11.88,6616.695125,95.0,443,62.1,0,96.0,8.76,96.0,0.1,52567.52568,4617225.0,0.3,0.2,0.91,18.6
Israel,2014,84.0,76.0,1,2.78,4348.33531,99.0,931,64.6,1,96.0,7.89,96.0,0.1,37582.84624,82157.0,1.2,1.1,0.895,16.0
Italy,2014,89.0,77.0,3,9.78,5439.691769,97.0,10982,63.1,3,97.0,9.42,97.0,0.1,38334.68477,59539717.0,0.6,0.6,0.877,16.6
Jamaica,2014,75.8,166.0,1,3.83,427.3054534,99.0,2,53.5,1,99.0,5.91,99.0,2.3,4855.743789,2829493.0,1.9,1.8,0.727,12.8
Jordan,2014,74.0,133.0,4,0.61,715.9709092,98.0,120,64.8,4,98.0,9.9,99.0,0.1,3992.86717,8413464.0,4.0,4.0,0.742,13.8
Kazakhstan,2014,69.9,295.0,9,7.6,808.243302,99.0,16118,52.3,10,99.0,4.7,99.0,0.1,12387.18982,17289224.0,2.7,2.7,0.789,15.0
Kenya,2014,63.0,437.0,76,1.97,170.9626624,96.0,2395,21.3,118,97.0,5.72,96.0,15.7,1335.6458,44826849.0,8.9,8.9,0.546,11.1
Kiribati,2014,66.1,222.0,0,0.76,188.7108773,96.0,0,77.1,0,96.0,13.66,99.0,0.1,1763.815497,96311.0,0.2,0.2,0.597,12.4
Latvia,2014,78.0,229.0,0,12.12,1542.635979,99.0,36,59.8,0,99.0,7.1,99.0,0.1,16348.53121,2287955.0,2.8,2.8,0.822,16.4
Lebanon,2014,75.0,112.0,1,2.26,835.0626827,83.0,1761,65.4,1,83.0,9.3,83.0,0.1,8787.94668,4588368.0,4.9,4.9,0.766,15.2
Lesotho,2014,52.3,675.0,5,2.75,195.825251,96.0,2488,32.0,7,95.0,11.79,96.0,34.8,1352.38433,2145785.0,9.7,9.7,0.491,11.1
Liberia,2014,67.0,329.0,10,3.88,60.44658161,77.0,2200,26.7,14,84.0,14.39,81.0,2.4,458.4651734,4286291.0,7.7,7.6,0.426,9.9
Lithuania,2014,78.0,229.0,0,15.19,2211.744178,98.0,103,61.9,0,98.0,7.9,98.0,0.1,16554.97139,3499536.0,3.4,3.4,0.841,16.8
Luxembourg,2014,88.0,98.0,0,13.14,18961.3486,95.0,8,59.6,0,99.0,8.27,99.0,0.1,119172.7418,556319.0,1.0,1.0,0.894,13.9
Madagascar,2014,69.0,271.0,41,1.03,79.50882493,84.0,62233,19.5,63,83.0,5.3,85.0,0.7,461.723722,22961146.0,8.5,8.4,0.509,10.3
Malawi,2014,57.6,615.0,46,1.27,82.76865922,99.0,118712,19.2,75,99.0,12.6,99.0,24.7,512.125451,16577147.0,7.7,7.6,0.466,10.7
