Country,Year,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Afghanistan,2000,54.8,3.0,62,0.01,1.388647732,62.0,430,12.2,83,5.0,6.73,5.0,0.1,25.2941299,257798.0,2.1,2.2,0.338,5.5
Albania,2000,72.6,1.0,0,3.66,3.3021542,96.0,0,5.8,0,97.0,5.34,97.0,0.1,35.1293,2941.0,1.2,1.3,0.656,10.6
Algeria,2004,72.3,11.0,19,0.01,2.548922758,8.0,0,5.8,22,86.0,3.24,86.0,0.1,31.122378,34376.0,5.9,5.8,0.673,11.7
Angola,2007,48.2,348.0,67,6.35,23.965612,61.0,265,2.4,101,63.0,3.3,6.0,2.0,479.31224,259615.0,8.5,8.3,0.454,7.7
Argentina,2002,74.1,12.0,8,7.53,57.58467352,9.0,0,6.4,9,91.0,4.79,91.0,0.1,333.4376,479947.0,1.0,0.9,0.77,16.1
Armenia,2000,72.0,12.0,1,2.86,2.8888979,55.0,0,5.1,1,9.0,3.71,9.0,0.1,41.26997,3612.0,2.0,2.1,0.639,10.8
Australia,2001,79.9,6.0,1,9.53,46.3871819,91.0,0,6.3,1,91.0,8.18,91.0,0.1,281.81763,19413.0,0.6,0.6,0.899,19.0
Austria,2000,78.1,7.0,0,11.3,69.92899358,33.0,0,5.1,0,71.0,1.12,81.0,0.1,443.99361,811566.0,1.7,1.9,0.833,14.7
Azerbaijan,2002,67.8,13.0,5,0.01,8.59680496,5.0,0,5.6,6,8.0,4.37,75.0,0.1,145.2163,8365.0,2.8,2.8,0.651,10.6
Bangladesh,2003,66.8,14.0,98,0.01,4.11469667,5.0,237,11.6,121,9.0,2.51,87.0,0.1,46.7579167,139191.0,2.1,2.1,0.484,7.9
Belarus,2000,67.2,23.0,0,10.74,8.49409518,7.0,0,6.5,0,9.0,4.92,5.0,0.1,63.38877,949583.0,1.9,2.0,0.675,13.1
Belgium,2000,77.6,1.0,0,10.05,287.2084529,6.0,0,6.2,1,96.0,1.17,95.0,0.1,2327.4591,16257.0,0.8,0.8,0.861,15.7
Belize,2000,68.2,18.0,0,4.79,51.25232422,76.0,0,4.8,0,91.0,3.98,89.0,0.1,447.22796,26226.0,3.4,3.4,0.668,11.7
Benin,2002,55.6,251.0,25,0.01,7.106997355,7.0,176,2.1,39,8.0,4.2,7.0,1.1,61.799977,7754.0,7.1,6.9,0.407,7.3
Bhutan,2000,61.7,29.0,0,0.01,2.586698228,83.0,0,2.3,1,9.0,3.57,86.0,0.1,87.9387673,795.0,15.7,16.2,0.0,7.3
Bosnia and Herzegovina,2004,75.0,1.0,0,4.03,3.479918859,9.0,0,5.5,0,9.0,8.28,9.0,0.1,55.156834,3774.0,2.4,2.4,0.0,12.3
Botswana,2000,46.0,3.0,2,0.01,1.117811275,9.0,0,3.5,2,96.0,4.64,95.0,2.3,77.625783,172834.0,1.0,1.4,0.558,11.7
Brazil,2000,71.0,17.0,44,6.85,15.85781237,91.0,0,5.3,49,96.0,6.94,93.0,0.1,359.587582,256983.0,2.7,2.7,0.677,13.3
Bulgaria,2000,71.1,14.0,1,9.69,15.2357274,88.0,0,6.3,1,88.0,6.41,88.0,0.1,169.28586,76122.0,1.9,1.9,0.709,12.9
Burkina Faso,2006,54.3,27.0,39,0.01,8.386339501,9.0,12,14.6,63,9.0,4.96,9.0,0.6,75.1464113,168194.0,1.0,7.7,0.325,4.7
Burundi,2004,52.6,33.0,22,0.01,1.72659515,83.0,0,13.8,32,76.0,1.3,83.0,0.7,15.57434,94358.0,7.4,7.3,0.279,5.2
Cabo Verde,2002,71.1,12.0,0,0.01,3.349816965,4.0,0,3.5,0,9.0,3.96,9.0,0.2,234.28992,5216.0,6.8,6.7,0.569,11.1
Cambodia,2006,64.1,19.0,11,0.01,6.914723983,8.0,0,14.3,12,8.0,3.75,8.0,0.2,95.244132,14928.0,1.9,11.0,0.483,10.1
Cameroon,2005,52.8,4.0,47,0.01,0.962497052,8.0,100,23.3,71,8.0,3.96,8.0,3.7,12.989164,18978.0,5.7,5.7,0.456,8.0
Canada,2003,79.7,7.0,2,7.7,102.1902168,7.0,6,6.0,2,9.0,1.3,87.0,0.1,544.43376,31676.0,0.5,0.4,0.877,15.8
Central African Republic,2009,48.6,437.0,15,0.01,7.344808214,23.0,2,2.2,22,23.0,3.58,23.0,4.5,337.4849614,44423.0,8.4,8.3,0.345,6.4
Chad,2008,49.6,37.0,46,0.01,4.982900401,4.0,63,16.4,78,3.0,2.92,4.0,2.9,84.455939,1152786.0,8.7,8.5,0.338,6.0
Chile,2006,78.9,9.0,2,6.76,177.4925143,9.0,0,6.6,2,9.0,6.18,9.0,0.1,1243.32824,1739746.0,0.8,0.8,0.796,14.8
China,2000,71.7,11.0,171,2.84,1.58668462,6.0,6183,2.5,198,86.0,4.32,85.0,0.1,153.1824,1284.0,3.7,3.0,0.583,9.5
Colombia,2000,71.4,15.0,11,4.25,15.16255482,8.0,0,5.5,12,9.0,5.37,8.0,0.1,83.5863,443958.0,2.1,1.9,0.65,11.1
Comoros,2003,59.6,23.0,1,0.01,7.212110766,28.0,0,2.1,2,8.0,3.65,8.0,0.1,72.759313,7415.0,6.8,6.6,0.0,9.2
Costa Rica,2000,77.5,1.0,1,3.34,24.88720369,8.0,0,5.3,1,8.0,7.12,9.0,0.1,388.363689,46324.0,1.7,1.7,0.702,11.6
Croatia,2007,75.8,14.0,0,11.49,206.8868182,95.0,0,6.0,0,95.0,7.44,95.0,0.1,1355.74586,4436.0,1.5,1.5,0.793,14.2
Cyprus,2000,78.1,6.0,0,0.01,100.8086193,88.0,0,52.8,0,97.0,5.77,97.0,0.1,1562.92433,1141.0,0.9,1.0,0.798,12.4
Djibouti,2007,59.8,252.0,1,0.38,20.35974738,25.0,0,3.9,1,78.0,1.57,78.0,1.9,143.986898,8942.0,5.6,5.4,0.416,4.5
Dominican Republic,2000,69.3,16.0,6,5.16,4.67359227,8.0,0,5.4,7,9.0,4.12,72.0,0.3,38.46578,12795.0,3.3,3.2,0.651,12.2
Ecuador,2000,72.8,14.0,6,3.52,14.5887403,9.0,0,5.0,7,9.0,3.38,83.0,0.1,193.741571,13726.0,1.2,1.1,0.668,12.4
El Salvador,2000,68.9,23.0,2,2.36,29.68529375,9.0,0,5.1,2,9.0,6.21,9.0,0.2,248.4125,6775.0,1.6,1.6,0.607,11.3
Equatorial Guinea,2014,57.9,32.0,3,0.01,13.40477417,2.0,13,24.0,4,24.0,3.8,2.0,4.4,192.59733,1129424.0,8.5,8.4,0.582,9.2
Eritrea,2002,58.5,34.0,6,0.49,0.703132179,9.0,0,13.1,8,9.0,2.97,9.0,0.7,21.7687981,39697.0,8.8,8.7,0.0,4.4
Estonia,2004,72.3,122.0,0,0.01,101.1201161,9.0,0,55.2,0,93.0,5.1,93.0,0.1,885.465115,13379.0,1.9,1.9,0.805,15.7
Ethiopia,2007,58.5,39.0,140,0.01,8.313282039,47.0,1176,14.5,202,7.0,4.28,5.0,0.6,52.1535887,8149.0,1.5,1.3,0.362,7.1
Fiji,2000,67.7,2.0,0,0.01,5.889526221,98.0,0,5.2,0,91.0,3.28,9.0,0.1,238.891729,84334.0,4.0,3.7,0.681,13.1
France,2000,78.8,11.0,3,11.1,64.73714894,26.0,0,6.1,3,96.0,1.22,97.0,0.1,416.58397,647744.0,0.6,0.6,0.844,15.4
Gabon,2005,61.4,31.0,2,0.01,11.05422474,7.0,0,3.8,3,8.0,2.54,7.0,2.8,194.2746,16421.0,6.1,6.0,0.64,12.4
Georgia,2000,71.7,12.0,1,2.72,7.132564768,48.0,22,5.5,1,9.0,1.19,8.0,0.1,127.367228,43.0,2.6,2.8,0.0,11.4
Germany,2000,78.0,8.0,2,10.94,437.1059663,9.0,0,6.4,3,94.0,1.1,9.0,0.1,2525.16445,89825.0,1.1,1.1,0.855,16.2
Ghana,2002,57.6,28.0,37,0.01,3.181373629,8.0,6,2.7,54,8.0,3.12,8.0,0.8,19.686718,215429.0,6.4,6.3,0.484,7.6
Greece,2000,78.2,8.0,0,7.46,122.1823517,9.0,0,6.5,0,9.0,7.6,89.0,0.1,1242.95373,18588.0,0.8,0.7,0.794,13.9
Guatemala,2005,69.2,19.0,10,1.88,41.50845637,73.0,0,43.8,13,9.0,6.2,73.0,0.4,277.83438,133978.0,1.2,1.2,0.567,9.6
Guinea,2007,56.4,29.0,27,0.01,1.399626733,51.0,3,2.3,41,6.0,3.21,6.0,0.5,49.456775,113517.0,7.5,7.4,0.364,7.6
Guinea-Bissau,2009,56.3,279.0,4,0.01,0.948526366,8.0,0,22.5,6,78.0,5.46,8.0,3.4,61.566347,155588.0,7.3,7.1,0.401,8.9
Guyana,2001,65.0,22.0,0,6.71,1.776181042,9.0,0,4.3,1,9.0,4.67,9.0,0.3,43.82321,7491.0,5.5,5.3,0.606,10.2
Haiti,2013,62.7,245.0,14,0.01,4.989712322,48.0,0,47.7,19,55.0,7.56,48.0,0.5,81.265673,1431776.0,3.9,3.9,0.483,9.1
Honduras,2000,71.0,15.0,3,2.61,15.36175284,91.0,0,4.4,4,88.0,6.63,92.0,0.3,113.4546,83516.0,2.1,2.1,0.551,9.8
